question,response,retrieved_context,retrieve_time_sec,generate_time_sec,precision,recall,f1,correctness,faithfulness,true_abstention
"If a software development team uses a data-flow diagram to model a system's high-level functionality, how would the data stores and actors identified in the DFD directly influence the complexity weights used to calculate Application Points in Stage 1 of the COCOMO II estimation model? -Required source types: both -Brief reasoning type label: process reasoning",,,0.489,4.175,0.0,0.0,0,0.7832839922405078,N/A,1
"Why does the textbook argue that high-level Petri nets are better suited than state-machine models for representing processes like an emergency room triage, where multiple preliminary events must occur before a transition to treatment begins? -Required source types: text -Brief reasoning type label: comparison",,,0.469,9.509,0.0,0.0,0,0.7902387799700997,N/A,1
"Contrast the treatment of future, unanticipated requirements in the Extreme Programming (XP) agile methodology with the strategic approach used when scoping and designing a core asset base for a Software Product Line architecture. -Required source types: text -Brief reasoning type label: comparison",,,0.483,5.013,0.0,0.0,0,0.7979128788157486,N/A,1
What four characteristics of agility are emphasized by proponents of extreme programming (XP)?,,,0.471,3.734,0.0,0.0,0,0.7943829224821004,N/A,1
"In the use-case diagram for the library system, which two specific use cases are connected to the reserve item use case via an <<extend>> relationship?",,,0.381,6.634,0.0,0.0,0,0.798366495053302,N/A,1
What are the two components used to describe a preferred work style?,,,0.332,3.776,0.0,0.0,0,0.7820881481267313,N/A,1
"How does the U.S. government's definition of Return on Investment (ROI) differ from industry's definition, and how is the ""payback period"" mathematically calculated when a company performs a cost-benefit analysis on a new software architecture design? -Required source types: text -Brief reasoning type label: comparison",,,0.68,6.612,0.0,0.0,0,0.27513101393242123,N/A,1
"According to McCall's quality model, what are the specific internal product quality criteria (on the right-hand side) that map to the external quality factors (on the left-hand side)?",,,0.372,7.687,0.0,0.0,0,0.7976897118029951,N/A,1
What do early design decisions regarding a system's architecture explain?,,,0.346,4.883,0.0,0.0,0,0.791216317635193,N/A,1
"How does the software industry's definition of Return on Investment (ROI), which focuses primarily on effort reduction and time savings, contrast with the mathematical calculation of a design's ""payback period"" when performing a formal cost-benefit analysis of architectural trade-offs? -Required source types: both -Brief reasoning type label: comparison",,,0.466,6.92,0.0,0.0,0,0.7760961533969194,N/A,1
How is system functionality achieved in a pipe-and-filter style architecture?,,,0.408,3.43,0.0,0.0,0,0.7954239642284628,N/A,1
"According to McCall's quality model, ""Flexibility"" is a key external quality factor. If an architect wants to achieve this factor by minimizing the number of indirectly affected software units when a change occurs, which specific modifiability tactics should be applied to the system's interfaces and coupling? -Required source types: both -Brief reasoning type label: synthesis",,,0.367,11.042,0.0,0.0,0,0.7956962104591981,N/A,1
"Based on the work styles framework charting communication against decision-making, what are the two primary defining traits of a Rational Introvert?",,,0.495,4.216,0.0,0.0,0,0.7926016868974919,N/A,1
"In the fault tree analyzing a security breach, what are the two specific basic events that must both occur (linked by an AND-gate) for an Illegal access granted condition to be met?",,,0.44,8.955,0.0,0.0,0,0.7903725771376165,N/A,1
How do rational extroverts make decisions according to the work styles framework?,,,0.347,4.678,0.0,0.0,0,0.7841514789253005,N/A,1
What are the three categories into which participants in a software project usually fall?,,,0.471,3.609,0.0,0.0,0,0.043217198915015215,N/A,1
"Which specific personnel roles (e.g., analyst, designer, programmer, tester, trainer) are actively involved during the System Testing phase of the software development lifecycle?",,,0.539,5.003,0.0,0.0,0,0.7920003240813396,N/A,1
What is a reference model?,,,0.511,4.872,0.0,0.0,0,0.7755733669097885,N/A,1
"In the diagram illustrating the relationship between computer science and software engineering, what specific component directly connects SOFTWARE ENGINEERING to the Problem?",,,0.52,6.452,0.0,0.0,0,0.7921995124553395,N/A,1
How does an egoless programming team approach responsibility?,,,0.344,5.19,0.0,0.0,0,0.7751838873022433,N/A,1
What is the purpose of McCall’s quality model?,,,0.323,4.122,0.0,0.0,0,0.7841239684766275,N/A,1
Contrast the primary development goal of building a throwaway rapid prototype during the requirements elicitation phase versus building one during the software architecture design phase. -Required source types: text -Brief reasoning type label: comparison,,,0.867,6.45,0.0,0.0,0,0.7758655036814041,N/A,1
"In the structure of software development model by Abdel-Hamid, what specific components fall under the HUMAN RESOURCE MANAGEMENT category?",,,0.484,3.907,0.0,0.0,0,0.7701038671944157,N/A,1
What defines a peer-to-peer (P2P) architecture?,,,0.388,6.705,0.0,0.0,0,0.7916433837775291,N/A,1
How do you quantify the risk exposure for an identified risk?,,,0.608,5.585,0.0,0.0,0,0.328667165419437,N/A,1
"In the three-tiered client-server architecture diagram, what specific software components are contained within the Client Presentation tier?",,,0.335,4.59,0.0,0.0,0,0.7924634316097288,N/A,1
