question,response,retrieved_context,retrieve_time_sec,generate_time_sec
What does refactoring refer to in extreme programming?,,,0.334,6.217
"In the decision tree calculating risk exposure for regression testing, what is the exact combined risk exposure value in dollars if the development team chooses not to perform regression testing?",,,0.36,3.094
"When quantifying the risk exposure for failing to satisfy a subjective quality requirement like ""usability,"" how can the establishment of specific ""fit criteria"" during the requirements phase alter the parameters used in the risk reduction leverage calculation during project planning? -Required source types: text -Brief reasoning type label: causal reasoning",,,0.491,7.805
"In Lai's notation for process modeling, what is ""Control""?",,,0.506,3.867
"Why would a highly hierarchical Chief Programmer team structure theoretically face fewer communication bottlenecks than a loosely structured, egoless team when developing a system specified with a tightly coupled algebraic specification notation like SDL Data? -Required source types: text -Brief reasoning type label: causal reasoning",,,0.484,7.327
"When visually mapping requirements versus specifications, what domain sits exactly at the intersection where the Environment domain overlaps with the System domain?",,,0.397,8.518
What is the difference between an activity and a milestone?,,,0.369,4.683
"In the reference architecture model for a compiler, which specific component bridges the gap between the Semantic analyzer and the Code generator?",,,0.506,6.508
"Based on the distinction between an error, a fault, and a failure outlined in Chapter 1, what does a single-element cut-set (e.g., {A1}) derived from a fault-tree analysis strictly represent in terms of a system's observable behavior versus its internal developer view? -Required source types: both -Brief reasoning type label: synthesis",,,0.473,4.266
What is a precursor?,,,0.408,4.147
How does the graphical representation of conditions and states in Lai's process transition diagram differ structurally from the representation of enabling conditions and state transitions in a high-level Petri net model like the one used for the library problem? -Required source types: both -Brief reasoning type label: structure interpretation,,,0.826,9.173
"In the messy UML statechart diagram for the Publication class, what specific input event triggers the transition directly from the onloan state to the recall state?",,,0.478,5.235
How is slack time computed using available time and real time?,,,0.353,5.528
"In the Petri net model of the library problem, what specific variables or tuples are shown being passed as inputs into the Process Payment transition?",,,0.524,2.834
What is the critical path?,,,0.491,4.602
"If a system is designed using a pure publish-subscribe architectural style with implicit invocation, why would attempting to model the complete system's dynamic behavior using Message Sequence Charts (MSCs) be inherently difficult or misleading regarding the interactions between the publishing and subscribing components? -Required source types: both -Brief reasoning type label: causal reasoning",,,0.446,6.956
"Contrast the treatment of future, unanticipated requirements in the Extreme Programming (XP) agile methodology with the strategic approach used when scoping and designing a core asset base for a Software Product Line architecture. -Required source types: text -Brief reasoning type label: comparison",,,0.483,5.013
"In the use-case diagram for the library system, which two specific use cases are connected to the reserve item use case via an <<extend>> relationship?",,,0.381,6.634
What are the two components used to describe a preferred work style?,,,0.332,3.776
"How does the software industry's definition of Return on Investment (ROI), which focuses primarily on effort reduction and time savings, contrast with the mathematical calculation of a design's ""payback period"" when performing a formal cost-benefit analysis of architectural trade-offs? -Required source types: both -Brief reasoning type label: comparison",,,0.466,6.92
"In the fault tree analyzing a security breach, what are the two specific basic events that must both occur (linked by an AND-gate) for an Illegal access granted condition to be met?",,,0.44,8.955
How do rational extroverts make decisions according to the work styles framework?,,,0.347,4.678
"In the diagram illustrating the relationship between computer science and software engineering, what specific component directly connects SOFTWARE ENGINEERING to the Problem?",,,0.52,6.452
How does an egoless programming team approach responsibility?,,,0.344,5.19
"In the structure of software development model by Abdel-Hamid, what specific components fall under the HUMAN RESOURCE MANAGEMENT category?",,,0.484,3.907
How do you quantify the risk exposure for an identified risk?,,,0.608,5.585
"In the three-tiered client-server architecture diagram, what specific software components are contained within the Client Presentation tier?",,,0.335,4.59
What are the three strategies for risk reduction?,,,0.456,7.541
What three milestones common to all software development processes were identified by Boehm?,,,0.546,8.468
"In the Enrollment Management model used during Digital's Alpha AXP program, what are the four specific sub-elements or factors listed under the COMMITMENT DELEGATION quadrant?",,,0.364,10.254
